Language,Population,Year
Chinese,630806,1980
French or French Creole,1550751,1980
Tagalog,474150,1980
Vietnamese,197588,1980
Korean,266280,1980
German,1586593,1980
Russian,173226,1980
Italian,1618344,1980
Portuguese,351875,1980
Polish,820647,1980
Japanese,336318,1980
Persian,106992,1980
Greek,401443,1980
Serbo-Croatian,150255,1980
Armenian,100634,1980
Yiddish,315953,1980
Chinese,1319462,1990
French or French Creole,1930404,1990
Tagalog,843251,1990
Vietnamese,507069,1990
Korean,626478,1990
German,1547987,1990
Russian,241798,1990
Italian,1308648,1990
Portuguese,430610,1990
Polish,723483,1990
Japanese,427657,1990
Persian,201865,1990
Greek,388260,1990
Serbo-Croatian,142078,1990
Armenian,149694,1990
Yiddish,213064,1990
Chinese,2022143,2000
French or French Creole,2097206,2000
Tagalog,1224241,2000
Vietnamese,1009627,2000
Korean,894063,2000
German,1383442,2000
Russian,706242,2000
Italian,1008370,2000
Portuguese,564630,2000
Polish,667414,2000
Japanese,477997,2000
Persian,312085,2000
Greek,365436,2000
Serbo-Croatian,233865,2000
Armenian,202708,2000
Yiddish,178945,2000
Telugu,87543,2000
Bengali,122375,2000
Tamil,90625,2000
Arabic,614582,2000
Hindi,317057,2000
Urdu,262900,2000
Punjabi,143526,2000
Gujarati,235988,2000
Hmong,168063,2000
Hebrew,195374,2000
Thai/Laotian,269767,2000
Navajo,178014,2000
Cambodian/Khmer,181889,2000
Chinese,2808692,2010
French or French Creole,2069352,2010
Tagalog,1573720,2010
Vietnamese,1381488,2010
Korean,1137325,2010
German,1067651,2010
Russian,854955,2010
Italian,725223,2010
Portuguese ,688326,2010
Polish,608333,2010
Japanese,443497,2010
Persian,381408,2010
Greek,307178,2010
Serbo-Croatian,284077,2010
Armenian,240402,2010
Yiddish,154763,2010
Telugu,222977,2010
Bengali,223395,2010
Tamil,184454,2010
Arabic,864961,2010
Hindi,609395,2010
Urdu,388909,2010
Punjabi,247353,2010
Gujarati,356394,2010
Hmong,211500,2010
Hebrew,204593,2010
Thai/Laotian,309732,2010
Navajo,172873,2010
Cambodian/Khmer,220900,2010
Chinese,3429292,2018
French or French Creole,1209540,2018
Tagalog,1712452,2018
Vietnamese,1528587,2018
Korean,1093097,2018
German,881159,2018
Russian,942945,2018
Italian,567270,2018
Portuguese ,794836,2018
Polish,520322,2018
Japanese,466976,2018
Persian,420131,2018
Greek,267832,2018
Serbo-Croatian,250137,2018
Armenian,248187,2018
Telugu,415414,2018
Bengali,350928,2018
Tamil,286732,2018
Arabic,1227768,2018
Hindi,863077,2018
Urdu,507329,2018
Punjabi,310650,2018
Gujarati,434264,2018
Hmong,233982,2018
Hebrew,226172,2018
Thai/Laotian,315410,2018
Navajo,169072,2018
Cambodian/Khmer,207479,2018
